--- Bongard Problems with > 12 Images ---
ID: BP196 | Total Images: 13
ID: BP211 | Total Images: 24
ID: BP284 | Total Images: 13
ID: BP335 | Total Images: 20
ID: BP334 | Total Images: 20
ID: BP344 | Total Images: 13
ID: BP351 | Total Images: 13
ID: BP352 | Total Images: 13
ID: BP356 | Total Images: 13
ID: BP379 | Total Images: 14
ID: BP504 | Total Images: 28
ID: BP523 | Total Images: 13
ID: BP524 | Total Images: 13
ID: BP529 | Total Images: 13
ID: BP532 | Total Images: 44
ID: BP533 | Total Images: 13
ID: BP559 | Total Images: 14
ID: BP792 | Total Images: 15
ID: BP793 | Total Images: 27
ID: BP795 | Total Images: 16
ID: BP802 | Total Images: 14
ID: BP809 | Total Images: 13
ID: BP820 | Total Images: 19
ID: BP860 | Total Images: 13
ID: BP869 | Total Images: 13
ID: BP875 | Total Images: 16
ID: BP892 | Total Images: 13
ID: BP897 | Total Images: 15
ID: BP898 | Total Images: 15
ID: BP917 | Total Images: 13
ID: BP927 | Total Images: 25
ID: BP932 | Total Images: 14
ID: BP935 | Total Images: 13
ID: BP944 | Total Images: 15
ID: BP946 | Total Images: 15
ID: BP951 | Total Images: 13
ID: BP954 | Total Images: 19
ID: BP955 | Total Images: 15
ID: BP961 | Total Images: 16
ID: BP965 | Total Images: 17
ID: BP966 | Total Images: 14
ID: BP979 | Total Images: 22
ID: BP981 | Total Images: 15
ID: BP986 | Total Images: 16
ID: BP991 | Total Images: 20
ID: BP997 | Total Images: 14
ID: BP998 | Total Images: 14
ID: BP999 | Total Images: 18
ID: BP1003 | Total Images: 13
ID: BP1004 | Total Images: 21
ID: BP1008 | Total Images: 13
ID: BP1012 | Total Images: 14
ID: BP1013 | Total Images: 14
ID: BP1026 | Total Images: 16
ID: BP1028 | Total Images: 16
ID: BP1029 | Total Images: 16
ID: BP1033 | Total Images: 14
ID: BP1038 | Total Images: 17
ID: BP1044 | Total Images: 16
ID: BP1046 | Total Images: 16
ID: BP1047 | Total Images: 16
ID: BP1048 | Total Images: 16
ID: BP1050 | Total Images: 16
ID: BP1051 | Total Images: 16
ID: BP1052 | Total Images: 16
ID: BP1054 | Total Images: 16
ID: BP1065 | Total Images: 13
ID: BP1071 | Total Images: 15
ID: BP1080 | Total Images: 24
ID: BP1089 | Total Images: 24
ID: BP1093 | Total Images: 13
ID: BP1099 | Total Images: 23
ID: BP1101 | Total Images: 17
ID: BP1108 | Total Images: 15
ID: BP1109 | Total Images: 19
ID: BP1110 | Total Images: 20
ID: BP1115 | Total Images: 13
ID: BP1116 | Total Images: 13
ID: BP1118 | Total Images: 14
ID: BP1119 | Total Images: 37
ID: BP1120 | Total Images: 27
ID: BP1122 | Total Images: 13
ID: BP1123 | Total Images: 19
ID: BP1129 | Total Images: 17
ID: BP1130 | Total Images: 19
ID: BP1131 | Total Images: 15
ID: BP1161 | Total Images: 18
ID: BP1174 | Total Images: 16
ID: BP1183 | Total Images: 24
ID: BP1184 | Total Images: 13
ID: BP1185 | Total Images: 17
ID: BP1187 | Total Images: 14
ID: BP1191 | Total Images: 15
ID: BP1199 | Total Images: 19
ID: BP1200 | Total Images: 14
ID: BP1202 | Total Images: 13
ID: BP1238 | Total Images: 17
ID: BP1237 | Total Images: 19
ID: BP1239 | Total Images: 16
ID: BP1241 | Total Images: 18
ID: BP1252 | Total Images: 14
ID: BP1258 | Total Images: 14
ID: BP1259 | Total Images: 16
ID: BP1261 | Total Images: 13
ID: BP1262 | Total Images: 13
ID: BP1264 | Total Images: 16
ID: BP1268 | Total Images: 14
ID: BP1271 | Total Images: 14
ID: BP1272 | Total Images: 13
ID: BP1274 | Total Images: 14
ID: BP1275 | Total Images: 13
ID: BP1279 | Total Images: 18
ID: BP1283 | Total Images: 13
